RED_BULL,476,27.7
MERCEDES,277,251
ASTON_MARTIN,226,7.0
FERRARI,212,22.2
ALPINE,100,9.9
HAAS,75,5.1
MCLAREN,65,8.9
ALFA_ROMEO,62,5.9
ALPHA_TAURI,39,6.1
WILLIAMS,-10,4.7
